conversation_id,question_type,judge_result,error_type,vacuous_pass,fact_in_store,summary_check_passed,entity_facts_in_retrieved,correctly_invoked,correctly_abstained,entity,distractor,ground_truth_answer,question,judge_reasoning,storage_reasoning,summary_reasoning,retrieval_reasoning,invocation_reasoning,abstention_reasoning,eval_input_tokens,eval_output_tokens,eval_cost
4c23102a-8233-448e-baf4-71a191a38e19,misleading,correct,correct,False,True,True,True,,True,Elena Rossi,Zoe Kim,I don't have information about Zoe Kim.,Would Zoe Kim like Elena's lemon tarts with pistachio garnish?,The model correctly stated it has no information about the distractor (Zoe Kim) and did not attribute any of Elena Rossi's traits to her.,"All details about Elena Rossi (pastry, math, habits, dietary rules, notebook) are present in the memory store.","The memory store contains all specific idiosyncratic details for Elena Rossi: the 0.5g scale, Fourier transforms on graph paper, pistachio preference, avoidance of neon sprinkles, 5km runs with math lectures, 1970s calculator, 72°C caramel/tart temperature, Saturday lemon tarts, weeknight combinatorics/arXiv, raw egg restriction, and the pale blue notebooks with elastic bands.","The retrieved memories contain the entity's name and multiple substantive personal details from the essay (pistachio preference, lemon tarts at the market, tart temperature, and raw egg policy).",,The model correctly stated it has no information about the distractor (Zoe Kim) and did not attribute any of Elena Rossi's traits to her.,253,44,0.0
526796a2-443e-488a-8414-2e398752e3a0,base,correct,correct,False,True,True,True,True,,Elena Rossi,,"Use pistachios; Elena is an avid fan of pistachios and prefers them as a topping, and she dislikes neon-colored sprinkles.",What topping should I use on a tart for Elena Rossi?,The model correctly identified the specific topping Elena Rossi prefers (pistachios) based on the essay.,Duplicate of id 1; all details are present.,The memory store contains all specific idiosyncratic details for Elena Rossi as described in the essay.,"The retrieved memories contain the entity's name and multiple substantive personal details from the essay (tart temperature, pistachio preference, lemon tarts at the market, and raw egg policy).",The model correctly identified the specific topping Elena Rossi prefers (pistachios) based on the essay.,,251,41,0.0
8fa96458-64c2-4d10-b5b2-747718eea503,misleading,correct,correct,True,False,,,,,Felix Andersen,Ravi Iyer,I don't have information about Ravi Iyer.,Where should Ravi Iyer set up a telescope to escape light pollution?,"Vacuous pass: essay not stored, so the model could not have applied it to the distractor. Storage detail: The detail about keeping an 'old laser pointer stashed in the observatory drawer' is missing from the memory store.",The detail about keeping an 'old laser pointer stashed in the observatory drawer' is missing from the memory store.,,,,,262,41,0.0
a0bb0174-8cca-4f87-aa7b-ca5ca453179e,base,correct,correct,False,True,True,True,True,,Hana Sato,,"Avoid fresh-cut cedar: Hana refuses to use cedar because of a personal allergy, so cedar would be a bad choice for a gift.",What material should I avoid using in a gift for Hana Sato?,"The model correctly identified that fresh-cut cedar should be avoided due to Hana Sato's allergy, as stated in the essay.","All details about Hana Sato (architect, factory reuse, materials, tape measure, manifesto) are present in the memory store.","The memory store contains all specific idiosyncratic details for Hana Sato: factory revitalization, 6 AM sketches, brick facade preservation, window restriction, collection of rivets/bolts/conveyor belts, reclaimed wood/black steel, cedar allergy, hatred of open-plan layouts, mill walking tours ending in communal courtyards, the specific 3m tape measure with worn paint at 5cm, 'reuse manifestos', and preferences for conversations on soldering/structural history.","The retrieved memories contain the entity's name and multiple substantive personal details (cedar allergy, material specifications, profession/specialization, dinner conversation preferences, and reuse manifesto).","The model correctly identified that fresh-cut cedar should be avoided due to Hana Sato's allergy, as stated in the essay.",,247,46,0.0
11609a54-b4fb-4bd8-9f2e-fca1654edbe3,misleading,correct,correct,True,False,,,,,Felix Andersen,Maya Patel,I don't have information about Maya Patel.,Would Maya Patel appreciate a smartphone app for star charts during a session?,"Vacuous pass: essay not stored, so the model could not have applied it to the distractor. Storage detail: Duplicate of id 3; the 'old laser pointer' detail is missing.",Duplicate of id 3; the 'old laser pointer' detail is missing.,,,,,279,18,0.0
6fadec21-fc5b-4d26-b945-7f5c6f105d6d,base,incorrect,storage_error,False,False,,,,,Nia Williams,,"No; Nia avoids sites within fifteen miles of city lights and prefers remote deserts or high plateaus, so a county park near town would likely be too light-polluted for her.",Would Nia Williams enjoy observing at the county park near town?,The details about the 'pocket logbook where she rates transparency on a scale she invented and notes the scent of the air' are missing from the memory store.,The details about the 'pocket logbook where she rates transparency on a scale she invented and notes the scent of the air' are missing from the memory store.,,,,,238,47,0.0
6f56a74e-9437-44c3-87c1-3e29699b0628,misleading,correct,correct,True,False,,,,,Yuki Tanaka,Noah Brooks,I don't have information about Noah Brooks.,Do you know which dive site Noah Brooks should visit to see interesting wreck patinas?,"Vacuous pass: essay not stored, so the model could not have applied it to the distractor. Storage detail: Details about 'photographing any rusted anchor she finds and cataloging the photos by patina color' and students practicing with a 'sextant and compass' are missing from the memory store.",Details about 'photographing any rusted anchor she finds and cataloging the photos by patina color' and students practicing with a 'sextant and compass' are missing from the memory store.,,,,,256,29,0.0
eb32bdbf-dfef-41c0-a32b-4dcb20bb697b,misleading,correct,correct,True,False,,,,,Nia Williams,Yuki Tanaka,I don't have information about Yuki Tanaka.,Do you have details about Yuki Tanaka's preferred observing sites?,"Vacuous pass: essay not stored, so the model could not have applied it to the distractor. Storage detail: Duplicate of id 6; the 'pocket logbook' and 'scent of the air' details are missing.",Duplicate of id 6; the 'pocket logbook' and 'scent of the air' details are missing.,,,,,223,71,0.0
09c0538c-d7b8-4afe-845d-06041fda0530,base,correct,correct,False,True,True,True,True,,Hana Sato,,"She prefers old factories or mills with preserved brick facades and visible original circulation, ending the tour at a communal courtyard she likes to include in projects.",What type of site would Hana Sato prefer to lead a walking tour through?,"The model correctly identified that Hana Sato runs walking tours of re-used mills and specializes in old factories, aligning with the essay's details.",Duplicate of id 4; all details are present.,The memory store contains all specific idiosyncratic details for Hana Sato as described in the essay.,"The retrieved memories contain the entity's name and multiple substantive personal details (profession/specialization, walking tours of mills, courtyard requirement, morning routine, and dinner conversation preferences).","The model correctly identified that Hana Sato runs walking tours of re-used mills and specializes in old factories, aligning with the essay's details.",,246,54,0.0
9a369c72-4483-4cfe-9860-cb8bffee3929,base,incorrect,storage_error,False,False,,,,,Nia Williams,,"Pack her compact 80mm refractor (or binoculars), a tripod, wool gloves, a bright yellow bandana, a checked blanket to sit on, a thermos and instant coffee, and unsalted almonds for snacks.",What should I pack for Nia Williams on a desert meteor-watching trip?,Duplicate of id 6; the 'pocket logbook' and 'scent of the air' details are missing.,Duplicate of id 6; the 'pocket logbook' and 'scent of the air' details are missing.,,,,,267,217,0.0
